ID,Nome,Idade,Setor,Cidade,CPF,RG,Formacao,Tempo_Empresa_Meses,Data_Aniversario,Funcao_Atual,Data_Admissao,Status
40,Funcionário 40,54,Suporte,Recife,909.670.546-72,4700025-7,Pós-graduação,7,1970-09-24,Coordenador de Suporte,2024-05-08,Ativo
41,Funcionário 41,53,Marketing,Salvador,346.706.562-79,7610562-9,Pós-graduação,4,1971-03-20,Analista de Marketing,2024-08-15,Ativo
42,Funcionário 42,33,Inovação,Curitiba,901.627.204-67,6662319-6,Graduação,10,1991-06-07,Analista de Inovação,2024-02-16,Ativo
43,Funcionário 43,58,Tecnologia,Brasília,464.170.805-36,1675419-0,Ensino Médio,20,1966-11-03,Tech Lead,2023-04-05,Ativo
44,Funcionário 44,23,Comercial,Manaus,330.923.271-95,7189034-2,Mestrado,21,2001-08-23,Gerente Comercial,2023-03-23,Ativo
45,Funcionário 45,58,Tecnologia,São Paulo,991.241.904-97,5074336-1,Graduação,10,1966-07-23,Analista de Sistemas,2024-02-08,Ativo
46,Funcionário 46,23,Gente & Gestão,Manaus,491.905.865-90,8047416-7,Tecnólogo,31,2001-09-21,Especialista em Folha,2022-05-22,Ativo
47,Funcionário 47,27,Inovação,Joinville,165.726.284-77,5502929-5,Doutorado,3,1997-08-14,Innovation Lead,2024-09-17,Ativo
48,Funcionário 48,38,Operações,Brasília,314.737.996-51,4050766-7,MBA,13,1986-01-16,Gerente de Operações,2023-11-20,Ativo
49,Funcionário 49,55,Operações,Belo Horizonte,354.549.480-20,7818732-7,Graduação,1,1969-04-03,Supervisor,2024-11-24,Ativo
50,Funcionário 50,37,Tecnologia,Salvador,837.770.143-03,7191135-7,Pós-graduação,8,1987-12-08,Tech Lead,2024-04-08,Ativo
51,Funcionário 51,27,Suporte,Joinville,885.685.574-73,4231028-5,Pós-graduação,15,1997-05-08,Coordenador de Suporte,2023-09-20,Desligado
52,Funcionário 52,57,Suporte,Recife,182.337.498-00,4816534-5,Graduação,16,1967-02-27,Coordenador de Suporte,2023-08-03,Ativo
53,Funcionário 53,40,Financeiro,Natal,240.824.008-50,9235577-1,Doutorado,16,1984-12-05,Gerente Financeiro,2023-08-22,Ativo
54,Funcionário 54,54,Marketing,Natal,094.777.520-02,7722755-7,Doutorado,18,1970-08-04,Especialista em SEO,2023-06-02,Ativo
55,Funcionário 55,22,Produto,Manaus,190.229.413-02,4786401-8,Ensino Médio,28,2002-09-25,Product Manager,2022-08-31,Ativo
56,Funcionário 56,44,Atendimento,Florianópolis,677.496.499-05,4486102-3,Doutorado,31,1980-10-24,Analista de Atendimento,2022-05-04,Desligado
57,Funcionário 57,23,Tecnologia,Natal,412.328.120-64,5886520-0,Mestrado,8,2001-08-23,DevOps,2024-04-16,Ativo
58,Funcionário 58,26,Gente & Gestão,Natal,344.713.493-33,3499627-4,Graduação,7,1998-02-18,Gerente de RH,2024-05-20,Ativo
59,Funcionário 59,30,Vendas,Florianópolis,210.249.947-24,7752972-4,Graduação,27,1994-08-23,Coordenador de Vendas,2022-09-12,Ativo
60,Funcionário 60,41,Marketing,Belo Horizonte,887.719.065-50,1348050-4,Ensino Médio,19,1983-01-03,Gerente de Marketing,2023-05-28,Ativo
61,Funcionário 61,29,Financeiro,Belo Horizonte,902.787.429-80,2530793-7,Pós-graduação,6,1995-11-27,Contador,2024-06-11,Ativo
62,Funcionário 62,56,Vendas,Florianópolis,565.512.567-67,1615675-7,Ensino Médio,16,1968-11-13,Vendedor,2023-08-14,Ativo
63,Funcionário 63,39,Comercial,Curitiba,154.516.808-33,7069650-9,Mestrado,4,1985-07-02,Gerente Comercial,2024-08-04,Ativo
64,Funcionário 64,37,Vendas,Joinville,770.348.247-11,5014745-2,Ensino Médio,3,1987-02-01,Vendedor,2024-09-19,Ativo
65,Funcionário 65,35,Gente & Gestão,Natal,480.861.317-42,5896624-8,Pós-graduação,28,1989-11-27,Especialista em Folha,2022-08-29,Ativo
66,Funcionário 66,29,Inovação,Florianópolis,467.737.826-60,3290229-1,Ensino Médio,23,1995-10-17,Analista de Inovação,2023-01-26,Ativo
67,Funcionário 67,33,Produto,Florianópolis,465.840.449-47,6790218-5,Mestrado,3,1991-03-15,Analista de Produto,2024-09-29,Ativo
68,Funcionário 68,43,Operações,Belo Horizonte,886.753.396-74,8935224-6,MBA,20,1981-07-02,Supervisor,2023-04-24,Ativo
69,Funcionário 69,29,Produto,Fortaleza,627.028.951-31,1257489-2,Tecnólogo,6,1995-02-17,Product Manager,2024-06-20,Ativo
70,Funcionário 70,51,Tecnologia,Manaus,621.745.961-21,6312692-7,Doutorado,13,1973-11-28,Desenvolvedor,2023-11-04,Ativo
71,Funcionário 71,26,Qualidade,Belém,809.134.316-72,8443690-2,Graduação,29,1998-11-23,Auditor,2022-07-21,Ativo
72,Funcionário 72,38,Qualidade,Manaus,400.504.556-13,4020853-2,Mestrado,26,1986-04-17,Analista de Qualidade,2022-10-26,Ativo
73,Funcionário 73,27,Suporte,Manaus,219.693.792-43,5283671-0,Ensino Médio,20,1997-08-21,Analista de Suporte,2023-04-21,Ativo
74,Funcionário 74,45,Tecnologia,Goiânia,748.217.594-62,6068760-3,MBA,7,1979-12-09,Tech Lead,2024-05-18,Ativo
75,Funcionário 75,54,Financeiro,Vitória,671.369.594-97,5605016-0,MBA,16,1970-01-27,Analista Financeiro,2023-08-28,Ativo
76,Funcionário 76,53,Inovação,São Paulo,909.743.953-15,3294774-1,Graduação,23,1971-10-09,Product Manager,2023-01-25,Ativo
77,Funcionário 77,46,Atendimento,Vitória,047.095.214-84,3217273-8,Mestrado,13,1978-12-14,Analista de Atendimento,2023-11-01,Ativo
78,Funcionário 78,24,Marketing,Goiânia,588.424.745-17,4785186-6,Tecnólogo,28,2000-08-03,Gerente de Marketing,2022-08-24,Desligado
79,Funcionário 79,43,Inovação,Curitiba,851.604.817-96,7392547-5,Doutorado,11,1981-11-24,Innovation Lead,2024-01-25,Ativo
80,Funcionário 80,23,Atendimento,São Paulo,137.098.593-28,6069909-6,Ensino Médio,31,2001-11-27,Atendente,2022-05-10,Ativo
81,Funcionário 81,50,Atendimento,Rio de Janeiro,120.047.113-02,8031780-9,Tecnólogo,26,1974-07-15,Supervisor de Atendimento,2022-10-05,Ativo
82,Funcionário 82,46,Marketing,Belém,261.796.405-13,7084862-1,Pós-graduação,21,1978-08-15,Especialista em SEO,2023-03-21,Ativo
83,Funcionário 83,28,Vendas,Joinville,585.064.317-60,1358318-0,MBA,29,1996-11-07,Vendedor,2022-07-07,Ativo
84,Funcionário 84,29,Qualidade,Florianópolis,532.931.839-48,1047572-4,Doutorado,21,1995-04-11,Auditor,2023-03-19,Ativo
85,Funcionário 85,49,Comercial,Curitiba,228.421.020-10,3923366-4,Doutorado,11,1975-04-19,Gerente Comercial,2024-01-04,Ativo
86,Funcionário 86,43,Suporte,Salvador,026.811.775-61,4716988-9,Tecnólogo,1,1981-10-04,Coordenador de Suporte,2024-11-17,Ativo
87,Funcionário 87,43,Atendimento,Recife,084.700.766-98,2232969-1,Mestrado,28,1981-08-23,Atendente,2022-08-10,Ativo
88,Funcionário 88,27,Operações,Fortaleza,592.124.998-05,8612081-8,Pós-graduação,14,1997-07-20,Analista de Operações,2023-10-28,Ativo
89,Funcionário 89,54,Marketing,Porto Alegre,961.183.673-29,7979148-1,Pós-graduação,8,1970-06-27,Analista de Marketing,2024-04-27,Ativo
90,Funcionário 90,25,Operações,Belém,565.452.711-80,7251976-2,Pós-graduação,30,1999-02-14,Coordenador Operacional,2022-06-24,Desligado
91,Funcionário 91,56,Inovação,Brasília,809.885.165-60,6242022-5,Pós-graduação,7,1968-12-02,Analista de Inovação,2024-05-16,Ativo
92,Funcionário 92,51,Suporte,São Paulo,198.327.315-50,4794319-6,Doutorado,11,1973-02-25,Coordenador de Suporte,2024-01-23,Ativo
93,Funcionário 93,49,Atendimento,Rio de Janeiro,899.809.402-98,6701311-5,Tecnólogo,17,1975-12-25,Atendente,2023-07-14,Ativo
94,Funcionário 94,47,Gente & Gestão,Goiânia,022.961.201-64,6719285-2,Doutorado,0,1977-04-13,Gerente de RH,2024-12-22,Ativo
95,Funcionário 95,30,Qualidade,Porto Alegre,545.991.022-61,8113787-7,Ensino Médio,32,1994-11-03,Coordenador de Qualidade,2022-04-12,Ativo
96,Funcionário 96,22,Comercial,Natal,976.438.156-15,9164342-8,Mestrado,28,2002-05-22,Executivo de Contas,2022-08-16,Ativo
97,Funcionário 97,46,Marketing,Belém,403.690.034-03,6504979-1,MBA,21,1978-03-25,Analista de Marketing,2023-03-09,Ativo
98,Funcionário 98,37,Inovação,Natal,076.226.838-76,1709714-6,Doutorado,12,1987-02-13,Analista de Inovação,2023-12-27,Ativo
99,Funcionário 99,43,Inovação,Florianópolis,071.596.966-89,6448705-2,Pós-graduação,16,1981-02-13,Product Manager,2023-08-16,Desligado
100,Funcionário 100,37,Suporte,Porto Alegre,975.161.369-80,6205543-5,Mestrado,9,1987-09-03,Analista de Suporte,2024-03-31,Ativo
101,Funcionário 101,50,Qualidade,Porto Alegre,352.181.883-79,3477824-3,Doutorado,12,1974-06-24,Analista de Qualidade,2023-12-17,Ativo
102,Funcionário 102,51,Financeiro,Porto Alegre,124.329.212-16,8531380-9,Pós-graduação,2,1973-08-25,Gerente Financeiro,2024-10-08,Ativo
103,Funcionário 103,47,Atendimento,Natal,955.271.774-44,2244712-4,MBA,17,1977-10-02,Supervisor de Atendimento,2023-07-17,Ativo
104,Funcionário 104,57,Tecnologia,Goiânia,770.054.119-19,1688246-7,Mestrado,1,1967-07-15,QA Engineer,2024-11-04,Ativo
105,Funcionário 105,44,Atendimento,Recife,935.978.207-60,3895058-0,Mestrado,29,1980-06-23,Atendente,2022-07-31,Desligado
106,Funcionário 106,57,Comercial,Joinville,377.889.255-00,1878547-5,Doutorado,16,1967-07-14,Executivo de Contas,2023-08-03,Ativo
107,Funcionário 107,40,Atendimento,Natal,151.864.492-96,6869018-4,Ensino Médio,13,1984-02-19,Atendente,2023-11-14,Ativo
108,Funcionário 108,25,Marketing,Natal,629.148.652-01,9531021-5,Doutorado,0,1999-02-21,Especialista em SEO,2024-12-14,Ativo
109,Funcionário 109,49,Produto,Joinville,054.235.733-00,2696860-8,Pós-graduação,26,1975-03-03,Product Owner,2022-10-09,Ativo
110,Funcionário 110,56,Qualidade,São Paulo,880.592.962-05,3777286-7,Ensino Médio,25,1968-03-27,Analista de Qualidade,2022-11-29,Ativo
111,Funcionário 111,58,Qualidade,Florianópolis,065.379.473-83,8868776-3,Ensino Médio,0,1966-04-10,Analista de Qualidade,2024-12-29,Ativo
112,Funcionário 112,31,Produto,Manaus,597.746.886-51,5194357-0,MBA,25,1993-04-26,Product Manager,2022-11-28,Ativo
113,Funcionário 113,33,Comercial,Belém,758.181.412-25,8339571-1,Graduação,17,1991-08-17,Executivo de Contas,2023-07-13,Desligado
114,Funcionário 114,56,Inovação,São Paulo,375.060.685-40,1472908-5,Tecnólogo,20,1968-07-03,Analista de Inovação,2023-04-28,Ativo
115,Funcionário 115,47,Atendimento,Recife,152.204.727-12,1318832-4,Mestrado,5,1977-10-01,Analista de Atendimento,2024-07-07,Ativo
116,Funcionário 116,28,Financeiro,Recife,328.986.143-00,8669093-1,MBA,15,1996-02-02,Contador,2023-09-09,Ativo
117,Funcionário 117,32,Marketing,Joinville,179.808.932-71,5035998-9,Ensino Médio,16,1992-07-01,Analista de Marketing,2023-08-20,Ativo
118,Funcionário 118,57,Atendimento,Porto Alegre,621.851.888-44,8887557-0,Ensino Médio,1,1967-09-01,Supervisor de Atendimento,2024-11-05,Ativo
119,Funcionário 119,56,Financeiro,Curitiba,654.051.531-68,6679880-2,Ensino Médio,13,1968-03-02,Controller,2023-11-12,Ativo
120,Funcionário 120,53,Marketing,Rio de Janeiro,772.217.043-92,6202210-8,Mestrado,33,1971-04-02,Analista de Marketing,2022-03-31,Ativo
121,Funcionário 121,33,Tecnologia,Rio de Janeiro,687.403.450-25,8330827-6,MBA,13,1991-05-04,Desenvolvedor,2023-11-11,Ativo
122,Funcionário 122,56,Vendas,Goiânia,765.277.584-13,4027557-8,Ensino Médio,30,1968-12-14,Vendedor,2022-06-19,Desligado
123,Funcionário 123,41,Vendas,Belo Horizonte,451.154.479-40,8501590-0,MBA,7,1983-03-23,Coordenador de Vendas,2024-05-22,Ativo
124,Funcionário 124,40,Tecnologia,Joinville,596.401.658-83,8351320-0,Pós-graduação,25,1984-01-05,QA Engineer,2022-11-24,Ativo
125,Funcionário 125,40,Qualidade,Salvador,213.556.909-78,7241348-7,Doutorado,25,1984-11-15,Coordenador de Qualidade,2022-11-11,Ativo
126,Funcionário 126,52,Financeiro,Florianópolis,192.856.543-39,9686324-6,Tecnólogo,28,1972-01-24,Controller,2022-08-21,Ativo
127,Funcionário 127,37,Gente & Gestão,Porto Alegre,814.473.947-71,8584017-2,Graduação,22,1987-02-05,Especialista em Folha,2023-02-14,Ativo
128,Funcionário 128,46,Financeiro,Fortaleza,715.518.844-10,3920762-5,MBA,25,1978-12-23,Gerente Financeiro,2022-11-19,Ativo
129,Funcionário 129,44,Vendas,Rio de Janeiro,831.323.705-84,3177199-9,MBA,11,1980-08-26,Vendedor,2024-01-26,Ativo
130,Funcionário 130,35,Atendimento,Porto Alegre,114.678.669-70,8549319-7,Graduação,30,1989-03-11,Supervisor de Atendimento,2022-06-01,Ativo
131,Funcionário 131,50,Produto,Fortaleza,852.892.268-50,3762487-2,Tecnólogo,32,1974-02-17,Analista de Produto,2022-04-24,Ativo
132,Funcionário 132,33,Vendas,Recife,535.841.438-02,9950276-1,Tecnólogo,17,1991-03-21,Vendedor,2023-07-17,Ativo
133,Funcionário 133,59,Inovação,Goiânia,829.922.995-29,5440189-3,MBA,33,1965-01-03,Product Manager,2022-03-26,Desligado
134,Funcionário 134,30,Comercial,Fortaleza,969.078.447-10,2224284-0,Tecnólogo,19,1994-11-13,Executivo de Contas,2023-05-17,Ativo
135,Funcionário 135,26,Gente & Gestão,Belo Horizonte,276.773.592-99,6794356-6,Graduação,14,1998-12-11,Especialista em Folha,2023-10-03,Ativo
136,Funcionário 136,22,Operações,Joinville,258.815.371-22,1849015-4,Ensino Médio,17,2002-08-08,Supervisor,2023-07-02,Desligado
137,Funcionário 137,28,Vendas,Belém,696.325.953-43,6176450-7,Pós-graduação,25,1996-08-17,Gerente de Vendas,2022-11-23,Ativo
138,Funcionário 138,52,Suporte,Belém,016.873.395-11,8895137-4,Pós-graduação,32,1972-01-10,Técnico de Suporte,2022-04-10,Ativo
139,Funcionário 139,48,Atendimento,Recife,801.624.565-06,4265774-5,Graduação,32,1976-07-02,Supervisor de Atendimento,2022-04-03,Ativo
140,Funcionário 140,24,Comercial,Manaus,841.687.849-83,6688907-8,Mestrado,27,2000-03-04,Executivo de Contas,2022-09-01,Ativo
141,Funcionário 141,41,Qualidade,Brasília,523.986.800-02,8948107-8,MBA,33,1983-03-23,Auditor,2022-03-21,Ativo
142,Funcionário 142,22,Suporte,Belém,729.825.952-06,6643410-8,Pós-graduação,9,2002-10-24,Técnico de Suporte,2024-03-15,Ativo
143,Funcionário 143,46,Marketing,São Paulo,887.947.055-85,1447065-9,Mestrado,28,1978-07-19,Analista de Marketing,2022-08-13,Ativo
144,Funcionário 144,27,Atendimento,Manaus,749.930.972-04,7378535-2,MBA,0,1997-11-24,Atendente,2024-12-09,Ativo
145,Funcionário 145,42,Operações,Porto Alegre,309.130.756-55,9419134-9,Graduação,25,1982-07-23,Gerente de Operações,2022-11-07,Ativo
146,Funcionário 146,58,Financeiro,Florianópolis,702.838.578-70,9944387-5,Graduação,10,1966-06-06,Gerente Financeiro,2024-02-11,Ativo
147,Funcionário 147,39,Vendas,São Paulo,854.973.348-22,4477544-7,Mestrado,15,1985-04-10,Coordenador de Vendas,2023-09-04,Ativo
148,Funcionário 148,52,Tecnologia,Porto Alegre,575.844.198-87,3457461-4,Mestrado,10,1972-07-27,Analista de Sistemas,2024-02-17,Ativo
149,Funcionário 149,24,Inovação,Salvador,041.574.733-37,2832517-9,Graduação,17,2000-09-23,Product Manager,2023-07-10,Ativo
150,Funcionário 150,53,Marketing,Belo Horizonte,933.083.301-21,3306314-0,Pós-graduação,8,1971-06-23,Analista de Marketing,2024-04-26,Ativo
151,Funcionário 151,29,Atendimento,Manaus,826.773.454-63,9978365-0,Pós-graduação,31,1995-02-21,Analista de Atendimento,2022-05-02,Ativo
152,Funcionário 152,29,Atendimento,Manaus,262.067.240-69,6621073-4,Tecnólogo,35,1995-05-19,Atendente,2022-01-19,Ativo
153,Funcionário 153,57,Produto,Belo Horizonte,788.728.743-00,5316188-2,Doutorado,28,1967-06-06,Product Manager,2022-08-19,Ativo
154,Funcionário 154,30,Tecnologia,Porto Alegre,054.932.966-83,2600296-2,Pós-graduação,1,1994-06-03,QA Engineer,2024-11-21,Ativo
155,Funcionário 155,49,Suporte,Belém,275.304.637-99,1191859-4,Mestrado,17,1975-06-10,Técnico de Suporte,2023-07-01,Ativo
156,Funcionário 156,26,Vendas,Curitiba,530.174.268-07,5949909-5,Tecnólogo,15,1998-12-04,Gerente de Vendas,2023-09-29,Ativo
157,Funcionário 157,26,Inovação,Brasília,933.272.795-35,4664338-3,Ensino Médio,7,1998-12-18,Product Manager,2024-05-01,Ativo
158,Funcionário 158,22,Comercial,Natal,918.785.191-15,3514105-2,Doutorado,31,2002-09-17,Vendedor,2022-05-07,Ativo
159,Funcionário 159,32,Gente & Gestão,Recife,587.139.718-24,7969667-7,Doutorado,5,1992-01-15,Analista de RH,2024-07-01,Desligado
160,Funcionário 160,43,Produto,Fortaleza,908.740.640-15,6780235-1,Ensino Médio,21,1981-10-03,Product Manager,2023-03-23,Desligado
161,Funcionário 161,54,Comercial,Salvador,801.704.622-77,7333337-6,Graduação,7,1970-06-13,Gerente Comercial,2024-05-10,Ativo
162,Funcionário 162,22,Gente & Gestão,Natal,182.512.868-59,1381435-4,Doutorado,27,2002-12-08,Recrutador,2022-09-18,Ativo
163,Funcionário 163,49,Tecnologia,Porto Alegre,786.863.375-11,2893218-0,Doutorado,25,1975-05-07,QA Engineer,2022-11-14,Ativo
164,Funcionário 164,59,Suporte,Porto Alegre,690.331.190-48,1816653-3,Doutorado,5,1965-10-22,Analista de Suporte,2024-07-03,Ativo
165,Funcionário 165,58,Atendimento,Recife,067.383.028-43,6350316-9,Graduação,16,1966-04-27,Atendente,2023-08-16,Ativo
166,Funcionário 166,42,Vendas,Goiânia,953.428.364-92,3938247-6,Ensino Médio,17,1982-01-18,Coordenador de Vendas,2023-07-18,Ativo
167,Funcionário 167,34,Financeiro,Goiânia,870.568.566-40,8944327-3,Ensino Médio,25,1990-05-13,Analista Financeiro,2022-11-02,Ativo
168,Funcionário 168,53,Comercial,Manaus,342.708.668-29,4411424-5,Doutorado,0,1971-03-13,Analista Comercial,2024-12-21,Ativo
169,Funcionário 169,47,Atendimento,Curitiba,175.183.046-27,4640933-7,Mestrado,33,1977-02-07,Analista de Atendimento,2022-03-22,Ativo
170,Funcionário 170,24,Produto,Curitiba,354.033.173-50,5748945-6,Pós-graduação,22,2000-07-08,Product Manager,2023-02-23,Ativo
171,Funcionário 171,26,Produto,Salvador,785.445.877-47,6372622-3,Ensino Médio,29,1998-12-16,Analista de Produto,2022-07-21,Ativo
172,Funcionário 172,44,Gente & Gestão,Porto Alegre,556.093.204-37,4859072-6,Mestrado,7,1980-05-05,Recrutador,2024-05-05,Ativo
173,Funcionário 173,32,Suporte,Rio de Janeiro,937.854.777-08,3348114-8,Mestrado,24,1992-12-26,Técnico de Suporte,2022-12-11,Ativo
174,Funcionário 174,59,Comercial,Curitiba,728.080.100-52,2140312-2,Tecnólogo,8,1965-03-27,Executivo de Contas,2024-04-24,Ativo
175,Funcionário 175,36,Produto,Florianópolis,038.750.997-61,7901115-0,Doutorado,3,1988-01-01,Product Owner,2024-09-26,Ativo
176,Funcionário 176,59,Tecnologia,Brasília,084.840.862-40,4220085-9,Doutorado,28,1965-02-17,DevOps,2022-08-08,Desligado
177,Funcionário 177,51,Inovação,Recife,845.461.567-90,2352527-0,Graduação,19,1973-12-08,Analista de Inovação,2023-05-14,Ativo
178,Funcionário 178,26,Financeiro,Recife,166.687.002-17,6557798-9,Ensino Médio,30,1998-08-28,Contador,2022-06-19,Ativo
179,Funcionário 179,38,Qualidade,Joinville,180.339.740-36,1552000-2,MBA,30,1986-11-09,Coordenador de Qualidade,2022-06-02,Ativo
180,Funcionário 180,27,Gente & Gestão,Curitiba,503.926.142-00,6565503-6,MBA,19,1997-10-27,Recrutador,2023-05-08,Ativo
181,Funcionário 181,32,Suporte,Vitória,218.501.631-89,7655572-5,Ensino Médio,13,1992-10-25,Coordenador de Suporte,2023-11-29,Ativo
182,Funcionário 182,37,Produto,Belo Horizonte,047.735.866-72,2437708-9,Pós-graduação,23,1987-11-19,Product Manager,2023-01-16,Ativo
183,Funcionário 183,24,Suporte,Fortaleza,431.142.626-78,6171869-7,MBA,14,2000-06-04,Técnico de Suporte,2023-10-11,Desligado
184,Funcionário 184,40,Gente & Gestão,Porto Alegre,541.212.678-26,6937696-8,Tecnólogo,1,1984-07-04,Especialista em Folha,2024-11-15,Desligado
185,Funcionário 185,43,Gente & Gestão,Belo Horizonte,199.560.466-63,5072543-9,Ensino Médio,30,1981-12-18,Analista de RH,2022-06-23,Ativo
186,Funcionário 186,33,Atendimento,Goiânia,826.224.447-88,8064924-4,Tecnólogo,26,1991-02-06,Atendente,2022-10-26,Ativo
187,Funcionário 187,35,Atendimento,Belém,715.437.993-61,7638609-5,Graduação,5,1989-02-05,Atendente,2024-07-26,Ativo
188,Funcionário 188,47,Vendas,Vitória,965.756.924-94,6271120-2,Ensino Médio,14,1977-10-23,Gerente de Vendas,2023-10-19,Ativo
189,Funcionário 189,51,Produto,Vitória,654.793.564-70,4352088-9,MBA,9,1973-06-04,Product Manager,2024-03-15,Ativo
